,County,CrashYear,CrashMonth,Day of Week,CrashHour,SpeedLimit_upper_value,Age
0,Cleveland,2007,January,Friday,12,75,46
1,Madison,2007,March,Sunday,13,55,64
2,Granville,2007,April,Sunday,22,25,45
3,Pitt,2008,March,Saturday,12,45,29
4,Wake,2008,August,Saturday,6,55,38
5,New Hanover,2008,September,Tuesday,18,55,45
6,Carteret,2008,December,Wednesday,17,55,28
7,Wake,2009,July,Saturday,11,45,51
8,Wayne,2010,March,Thursday,19,45,34
9,Alamance,2010,May,Saturday,23,55,54
10,Pitt,2010,June,Monday,13,55,16
11,Robeson,2011,June,Friday,23,55,51
12,Scotland,2012,May,Wednesday,8,35,30
13,Robeson,2012,November,Thursday,17,55,71
14,Craven,2013,September,Saturday,9,55,69
15,Gaston,2014,December,Thursday,19,45,16
16,Halifax,2014,September,Friday,21,55,63
17,Durham,2016,May,Tuesday,10,55,66
18,New Hanover,2017,May,Monday,17,25,20
19,Union,2008,January,Sunday,15,35,46
20,Onslow,2007,September,Thursday,6,45,20
21,Iredell,2008,October,Monday,18,55,17
22,Lenoir,2008,November,Thursday,6,75,35
23,Cumberland,2009,November,Thursday,7,55,18
24,Mecklenburg,2010,February,Monday,14,55,64
25,Pitt,2009,March,Thursday,12,35,54
26,Surry,2010,May,Tuesday,17,45,14
27,Robeson,2010,September,Friday,20,55,47
28,Robeson,2010,April,Saturday,21,55,25
29,Stokes,2010,July,Friday,7,45,49
30,Madison,2011,May,Wednesday,21,45,15
31,Brunswick,2011,June,Monday,14,55,60
32,Onslow,2011,July,Wednesday,16,55,57
33,Alamance,2011,July,Sunday,20,35,43
34,Pitt,2011,September,Thursday,3,55,20
35,Cumberland,2013,January,Saturday,19,45,0
36,Nash,2012,November,Thursday,13,55,41
37,Cumberland,2013,April,Tuesday,12,45,40
38,Robeson,2015,September,Friday,20,55,44
39,Mecklenburg,2017,April,Sunday,15,45,60
40,Guilford,2017,June,Saturday,1,35,25
41,Harnett,2017,August,Thursday,8,55,53
42,Wake,2017,August,Thursday,23,45,16
43,New Hanover,2018,October,Friday,21,25,34
44,Burke,2007,March,Friday,16,35,16
45,Wake,2007,June,Tuesday,19,45,15
46,Forsyth,2008,August,Wednesday,12,45,31
47,Halifax,2008,September,Tuesday,19,45,39
48,Buncombe,2008,July,Wednesday,22,45,19
49,Mecklenburg,2008,August,Tuesday,13,45,47
50,Nash,2010,September,Wednesday,20,55,53
51,Lee,2011,December,Saturday,17,55,77
52,Onslow,2012,August,Thursday,18,45,46
53,Wake,2012,August,Monday,3,75,44
54,Duplin,2012,October,Tuesday,19,55,61
55,Rockingham,2013,March,Friday,14,45,50
56,Mecklenburg,2015,September,Sunday,11,35,73
57,Mecklenburg,2015,September,Wednesday,10,45,74
58,Durham,2014,October,Saturday,19,35,52
59,Henderson,2016,April,Friday,15,35,71
60,New Hanover,2017,May,Wednesday,16,25,59
61,Brunswick,2017,July,Wednesday,12,45,17
62,Currituck,2016,June,Monday,0,55,16
63,Edgecombe,2018,August,Monday,16,55,8
64,Polk,2017,July,Saturday,9,45,62
65,Robeson,2017,July,Thursday,12,35,17
66,Mecklenburg,2018,April,Saturday,10,35,55
67,Catawba,2017,October,Sunday,17,55,57
68,Mecklenburg,2018,July,Saturday,20,35,60
69,Bertie,2018,February,Thursday,15,55,67
70,New Hanover,2018,October,Tuesday,17,45,30
71,Onslow,2008,November,Friday,21,45,58
72,Catawba,2009,April,Saturday,22,55,42
